psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
100004,1,1,36,1,S,2,1,2,2,2,2,2,3,1,2,2,1,2,2,3,1,1,1,1,2,2,2,2,2,2,1,2, ,1,2,2,2,1,4, ,2,0, ,1, ,1, , ,4,4,2,4,4,4,4,4,4,4,1,4,3,2,2,2,2, , ,2,3,2,2,2,2, , ,1,1,1,2,2, , ,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2,2,6,1,2, ,1,6, ,2, , ,14624,2.59375,0.847976922
100019,1,1,12,3,S,2,2,3,3,2,3,3,3,2,3,3,2,3,3,1,2,2, ,1, , , , , , , , , ,1,2,2,2,2, , , , , , , , , , ,2,1,1,4,4,4,4,4,4,4,4,4,2,2,1,2,3, , , ,4,2,8,2,2, , , ,2,8,5,8, , ,2,3,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80,3,5,3,3,2, ,1,3, ,3, , ,34471,2.6875,0.878626691
100035,1,1,36,1,S,1,2,3,1,1,2,2,2,2,1,2,2,2,4,2,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , ,9,4,9,4,4, , ,4,4,4,9,4, , ,3,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,2,1,3,4,1,1,1,3,2, , , ,13126,5.40625,1.767469971
100040,1,1,21,3,R,2,2,3,1,2,2,3,2,1,1,4,1,1,2,4,1,2,1,1,2,2,2,1,2,1, , , ,1,2,2,2,2, , , , , ,50, ,25, , ,1,2,1,1,2,4,4,4,2,4,1,2,4,3,4,3,4,4, ,4,2,4,3,3,2,4, ,1,2,2,3,2,3, ,3,3,2,4,3, , ,6, ,4,200,2, , ,6,4,4,4,4,2,1,1,2,1,1,3,2,2,3,2, ,2,3,3,2,41,2,4,4,1,2, ,1,NA, ,2, , ,40353,4.0625,1.328156625
100041,1,1,34,1,S,2,2,3,5,2,3,3,2,3,2,2,2,2,2,3,2,2, ,2, , , , , , , , , ,1,8,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,3,4, , , ,3,4,4,4,4, , , ,2,2,5,2, , ,3,3,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,1,4,5,3,2, ,1,3, ,3, , ,7026,1.4375,0.469963114
100044,1,1,45,3,S,1,2,5,5,2,2,2,9,1,3,3,1,3,1,1,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,8,2,2,2,3, , , ,4,2,8,8,1, , , ,4,1,5,8, , ,3,2,1,8,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76,2,5,3,3,2, ,1,2,1,1, , ,29329,4.5625,1.491622056
100047,1,1,42,1,S,2,2,3,5,1,3,4,3,1,1,3,2,1,3,3,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,1,4,1,1,4,4,2,2,2,2, , , ,1,2,2,2,4, , , ,2,2,5,8, , ,2,4,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72,2,4,1,3,2, ,1,2,1,3, , ,16510,5.46875,1.78790315
100053,1,1,24,3,S,2,1,5,1,1,2,4,4,1,2,3,1,2,3,3,1,2,1,2,2,2,2,2,2,1, , , ,1,2,2,2,2, , , , , ,10, ,5, , ,4,2,4,4,4,4,4,4,4,4,1,2,1,1,3,1,9,2, ,2,4,1,1,3,3,2, ,3,8,9,5,9,9, ,4,3,3,4,3, , , , ,2,40,2, , ,7,2,7,4,7,1,2,2,3,3,1,2,1,1,2,9,9,8,9,1,3,76,2,5,1,3,2, ,1,2, ,2, , ,20601,2.34375,0.766244207
100063,1,1,24,3,U,2,2,3,1,2,3,4,3,1,4,4,1,1,4,4,1,2,1,2,2,2,2,2,2,2,2, , ,1,2,2,2,1,0, ,0,0, ,2, ,1, , ,4,4,4,1,4,4,1,4,4,4,4,4,4,4,1,2,1, , ,3,1,2,2,2,2, , ,1,1,1,5,8, , ,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65,2,5,6,3,2, ,1,6, ,3, , ,21702,1.15625,0.378013809
100066,1,1,34,1,S,1,2,1,1,1,3,2,2,1,1,2,2,1,2,3,1,1,1,1,2,1,2,2,2,1, , , ,1,1,1,1,1,7, ,5,3, ,20, ,10,5, ,4,4,2,1,4,2,1,4,1,2,4,4,1,2,1,2,4,4, ,2,3,1,1,1,3,1, ,3,3,2,1,1,2, ,3,3,1,3,3, , , , ,2,300,2, , ,5,1,1,1,5,2,1,1,1,2,2,2,3,2,3,3,3,3,3,3,3,50,2,4,8,2,2, ,1,9, ,2, , ,7043,2.75,0.89905987
